File,Thread,Size,Execution time,Sleep time,Sleep count,Sleep percentage,Futex time,Futex count,Futex percentage
reference,1,10000,10554950,0.26,,99.99%,0,,0
reference,2,10000,4411390,0.25,,99.55%,0,,0
reference,4,10000,2102328,0.19,,99.03%,0,,0
reference,8,10000,1426790,1.66,,100%,0,,0
reference,4,20000,14942277,2.48,,100%,0,,0
reference,4,40000,27360492,8.12,,100%,0,,0
reference,4,80000,51699780,12,,100%,0,,0
,,,,,,,,,
Unbalanced,1,10000,24526659,0.52,,100%,0,,0
Unbalanced,2,10000,13143328,0.43,,99.98%,0,,0
Unbalanced,4,10000,12836941,0.13,,35.22%,0.24,,64%
Unbalanced,8,10000,13887321,0.06,,15.88%,0.34,,84.12%
Unbalanced,4,20000,20418981,0.05,,10.4%,0.45,,89.6%
Unbalanced,4,40000,32372027,0.28,,25.23%,0.83,,74.75%
Unbalanced,4,80000,50925694,0.25,,14.47%,1.49,,85.47%
,,,,,,,,,
Ordered,1,10000,15666632,0.39,,99.99%,0,,0
Ordered,2,10000,23011738,0.3,,51.35%,0.28,,48.65%
Ordered,4,10000,18374489,0.12,,27.33%,0.31,,72.67%
Ordered,8,10000,14129575,0.05,,16.21%,0.29,,83.79%
Ordered,4,20000,28446974,0.08,,10.84%,0.71,,89.16%
Ordered,4,40000,40128196,0.46,,44.90%,0.56,,55.1%
Ordered,4,80000,105487456,1.02,,43.19%,1.34,,56.81%
,,,,,,,,,
Critical,1,10000,20065888,0.57,,99.95%,0,,0
Critical,2,10000,15217654,0.22,,99.84%,0,,0
Critical,4,10000,5628668,0.11,,64.55%,0.06,,34.71%
Critical,8,10000,5696581,0.12,,10.38%,1.04,,89.62%
Critical,4,20000,13812896,0.30,,62.05%,0.18,,37.92%
Critical,4,40000,21998948,0.41,,52.29%,0.37,,47.71%
Critical,4,80000,53034442,1.05,,56.4%,0.81,,43.6%
